gene,cluster_kmeans,cluster_hdbscan
HNMT,11,-1
POLD4,6,-1
GLCE,10,-1
SIRT6,8,13
SERPINA5,4,-1
ABCA9,14,-1
RPL6,7,11
DSEL,10,-1
NR4A3,8,13
TJP3,3,-1
RPL9,7,11
CREB1,8,13
ARHGEF4,15,-1
TP73,8,13
SOX2,8,13
RPL27,7,11
RPL27A,7,11
TNFRSF4,5,-1
BCL11B,8,13
RPL39,7,11
SLC38A3,14,-1
DCP2,6,-1
FOXA3,8,13
GUCY1A2,12,-1
RPS8,7,11
FMO3,11,-1
NLN,4,-1
CERS6,10,-1
TNPO1,2,5
BARD1,15,-1
NDUFS5,17,1
ATP7A,14,-1
HNF1B,8,13
UBA7,15,-1
DNMT3B,6,-1
CDK14,12,-1
SERPIND1,4,-1
LFNG,16,-1
SOCS7,15,-1
KRT24,3,8
TNC,16,13
DNM1,2,10
F2RL2,13,-1
DNM3,3,-1
PLIN5,9,-1
COX4I1,17,1
MAGI3,5,-1
IHH,16,13
ROR1,12,-1
CERS4,10,-1
HS3ST3A1,10,-1
DUSP2,15,-1
DNAH5,3,-1
SNX5,2,10
NDUFB1,17,1
ACVR1C,9,13
CSNK1G1,12,13
GABRR1,14,9
PROS1,4,-1
CDK6,9,13
NUP160,2,4
STK3,15,13
BDH1,11,-1
FLOT1,3,-1
ATP6V1A,14,-1
LATS2,15,13
MSI1,6,-1
FKTN,3,-1
PRDX5,11,-1
AR,8,13
TNFSF4,9,13
CLCA2,14,-1
GDF6,9,-1
TAF10,8,13
GTF2A1,8,-1
PDE3A,9,-1
SH3GLB2,2,-1
MPZL1,5,2
GREM1,16,13
IL18RAP,9,-1
ITPK1,12,-1
GSTT2B,11,-1
TTK,15,-1
TEAD2,8,13
HCFC1,8,13
NUP98,6,4
OXCT1,1,-1
HLA-E,9,-1
RPS10,7,11
KRIT1,9,-1
NDUFB8,17,1
DHFR,11,-1
NSD1,8,-1
ZNF707,0,14
ADCY1,16,-1
EZH2,8,13
ENPP6,1,-1
CHRNA3,14,9
RPS3,6,-1
MBOAT2,10,-1
FAU,7,11
KRT15,3,8
B4GALT7,10,6
CYP3A5,1,3
TH,16,-1
HHIP,16,-1
ATF6,8,-1
ELOVL4,1,-1
PNPLA3,1,-1
TNNC1,3,-1
MED13L,8,-1
DARS2,11,-1
DLL4,16,13
XRN2,6,-1
ESPL1,15,-1
NFASC,16,-1
CSNK1G3,12,-1
MYL5,3,-1
RPS7,7,11
CPB2,4,-1
CRK,9,13
ALG11,10,-1
RPL18,7,11
RPL31,7,11
REST,8,13
TIAM1,16,-1
GMDS,11,-1
CD19,9,-1
B3GNT7,10,-1
SEMA6D,16,-1
LDHC,11,-1
GCNT2,9,-1
HAP1,3,-1
BUB1B,15,-1
NR1H3,8,13
SF3B3,6,7
PLK4,15,-1
GALNT13,10,6
GALNT5,10,6
CLDN20,3,2
RPS11,7,11
ZNF250,0,14
VAPB,2,-1
ADH7,1,3
DYNC1H1,3,13
DOCK4,3,-1
VPS29,2,-1
GNGT1,5,-1
FBP1,12,-1
CYB5RL,11,-1
CASP2,4,-1
SNRNP200,6,7
ADH1C,11,-1
GNG7,13,-1
DPYD,11,-1
CTSE,4,-1
CTSV,4,-1
CCL3L3,9,-1
ANGPT1,9,13
TNFRSF13B,5,-1
IL9R,5,-1
XRCC2,6,12
GREM2,9,-1
SLC25A6,14,-1
ORC3,6,-1
POLK,6,12
ST3GAL6,10,6
PWP2,7,-1
AMPH,2,-1
REN,4,-1
NANP,10,-1
SIRT5,11,-1
COL11A2,3,13
TRIM37,15,-1
RPS18,7,11
SLC1A7,14,-1
NDUFA2,17,1
NME3,11,-1
NPNT,16,13
CYP2S1,1,3
HS3ST5,10,-1
SIN3A,8,13
ROR2,12,-1
DDX19A,6,-1
B4GALNT1,10,-1
CCNE2,15,-1
TTI1,15,-1
CLDN16,14,-1
NDUFA1,17,1
TP53BP1,6,13
CNTN1,16,-1
COL11A1,3,13
RPL34,7,11
NUP188,2,4
GXYLT2,10,-1
PRKDC,6,13
RPL14,7,11
CLDN23,3,2
GDA,11,-1
SLC44A4,14,-1
TEAD1,8,13
GTF2H5,6,-1
STX2,2,-1
DGKG,12,-1
MED12,8,13
NPC1,2,-1
DEGS2,1,-1
RAB22A,2,10
FLNC,3,-1
GABRR2,14,9
SLCO1B1,14,-1
SDR16C5,8,-1
SLC7A1,14,-1
UBR4,15,-1
BRIP1,6,12
UBR5,15,13
SEC24A,2,-1
EDEM3,2,-1
POLA1,6,12
TST,11,-1
XPO4,2,5
HSD3B1,1,-1
SFRP1,16,13
ROBO2,16,13
THBS4,9,13
RPL7A,7,11
NKX3-1,8,13
ZSCAN32,0,14
ETV1,0,13
EXTL1,10,-1
RPL29,7,11
HYAL4,10,-1
NF1,16,13
FBXO5,15,-1
FGF22,16,-1
ADCY9,12,-1
MASP2,4,-1
TAS2R31,13,0
CHST3,10,-1
KAT6A,8,-1
TBL1XR1,8,13
LPAR6,13,-1
SOX17,16,13
GGT6,11,-1
RPS4Y1,7,11
UNC5C,16,-1
CNOT4,15,-1
ATP6V1B1,14,-1
MAFA,0,13
WNT3,16,13
TBC1D4,2,-1
ZNF805,0,14
B3GALNT2,10,-1
THSD4,3,-1
MYL12B,3,-1
WASF3,3,-1
LATS1,15,13
EXO1,6,-1
GALNT15,10,6
INSL3,5,-1
IL1RAP,9,13
SEC24C,2,-1
PTGIR,13,-1
PDE4C,12,-1
ZFP92,0,14
PLK3,15,13
CYP26B1,1,-1
WDR36,7,-1
MAPK8IP2,9,-1
LBP,9,-1
PDX1,8,13
ZFP1,0,14
IBSP,3,-1
NFKBIZ,9,-1
MEF2A,8,13
POMK,12,-1
PRKCD,9,13
NRCAM,16,-1
ZNF623,0,14
ELOVL7,1,-1
PFN1,3,-1
TAF2,8,-1
UCK2,12,-1
NMU,9,-1
CNTNAP2,16,-1
IGF2R,2,10
TRIP12,15,13
CAMK4,12,13
CLOCK,8,13
ALDH1L2,11,-1
TNFRSF17,5,-1
IPPK,12,-1
ADH6,11,3
ACLY,1,-1
FGD1,3,-1
GRIK2,14,9
NDUFA9,17,1
FBN1,16,13
PFKFB2,12,-1
ABCA10,14,-1
ELF5,8,13
NEIL3,6,-1
MYH10,3,-1
SIPA1L2,15,-1
CHRNB4,14,9
CYP4F3,1,-1
ACSM6,1,-1
TTF2,6,7
ENDOG,6,-1
DHX38,6,7
IL27RA,9,-1
HDAC10,6,-1
GALNT4,10,6
IFNE,9,-1
GALNT16,10,6
STAM2,2,-1
SV2A,14,-1
RAD51D,6,-1
DNMT1,6,-1
PGM3,10,-1
NCF4,2,-1
RBL1,8,-1
