gene,cluster_kmeans,cluster_hdbscan
NRXN2,0,-1
NGF,5,10
ALOX12,9,-1
FMO5,9,-1
BDNF,5,-1
RIOK2,8,-1
ZNF208,2,-1
ADA,5,-1
PSME1,4,-1
ZNF587,2,12
SERPINB5,7,-1
CCL14,5,10
MMP1,8,-1
HSPA1L,4,-1
GDF10,5,-1
NCAM2,7,-1
NOL6,1,-1
TRPC6,3,-1
GDNF,5,10
PGLS,8,-1
PTPN13,8,-1
IL6,5,10
CAMK1G,8,-1
EXOSC3,1,-1
PGF,5,-1
L1CAM,7,-1
LGR5,0,-1
CXCL8,5,10
ACY1,4,-1
ACTN2,7,-1
GRIK3,3,10
GLDC,9,-1
ADIPOQ,5,10
SMAD6,5,10
CHAC1,5,-1
DNALI1,7,-1
CALML5,4,-1
S1PR3,0,-1
ABCA3,3,-1
SLC18A2,3,-1
KLRC2,5,-1
GCLM,5,-1
AMPH,4,-1
PRKCB,8,10
INPP4B,8,-1
PPM1A,8,-1
PLCH2,8,-1
CDC34,8,-1
BOC,7,-1
KLRC1,5,-1
BMP5,5,10
SH3GL2,4,-1
KDELR1,4,-1
OSM,5,-1
SPATA13,7,-1
CTSO,8,-1
HSD11B1,9,4
NBN,1,-1
MTMR1,8,-1
NKX3-1,5,10
CXCL3,5,-1
PSMD13,4,-1
PIK3C2G,8,-1
MAP1LC3B,4,-1
CD68,4,-1
AMBRA1,4,-1
GBP4,4,-1
WT1,5,10
DBH,5,-1
NXF3,1,-1
SLC38A3,3,-1
PSMD14,8,-1
C1GALT1,6,-1
FOSB,2,-1
CGNL1,7,-1
GRHPR,9,4
IPO11,4,-1
PLXNB3,5,10
GSTO2,9,-1
ZFP57,2,-1
VEGFC,5,10
CKMT1B,8,3
SH3BP2,8,-1
PEX12,4,-1
STEAP2,3,-1
ABHD16A,6,-1
NOB1,1,-1
MC1R,0,-1
RPL18,1,5
ABCC2,3,9
ABAT,5,-1
TRPM6,3,-1
CA3,5,-1
DNAH7,7,8
TLE4,2,-1
PEX11A,4,-1
ACOT4,9,0
SNAP25,4,-1
GNA15,0,-1
ID3,5,10
ZNF726,2,12
TICAM1,5,10
LTA,5,10
XCR1,0,10
CLCA2,3,-1
SLC45A3,3,-1
AP3B2,4,-1
SOCS2,5,-1
PDE1B,8,-1
ST3GAL3,6,-1
DHX58,8,-1
GPER1,5,10
ABCC3,3,-1
PDCD4,5,-1
ZNF107,2,-1
NPNT,5,-1
MSI1,1,-1
PSMB9,8,-1
NTF4,5,-1
ABCC8,3,10
PABPC4,1,-1
CCL23,5,10
FABP5,4,-1
B3GALT5,6,-1
CXCL6,5,10
NKD1,5,-1
ULBP1,5,7
MAGI1,7,-1
MPPE1,4,-1
PEX5L,4,-1
DNAH12,7,8
PKN3,8,-1
SLITRK5,5,-1
ELOVL7,6,0
GHRL,5,10
PTPRJ,5,10
PRODH,9,-1
FLT3,5,-1
LTBR,5,-1
RELN,5,10
KCNN4,3,-1
CLDN5,7,-1
IQGAP2,7,-1
PLIN4,4,-1
EFNA3,0,-1
FRAT1,4,-1
CDO1,9,-1
SLC22A4,3,9
TNN,5,-1
HTR1F,0,-1
NPW,0,-1
UQCRH,9,-1
CNTFR,0,-1
DUSP9,8,-1
IRF7,5,-1
PDHB,9,-1
TNC,7,-1
PTPN7,8,-1
TSG101,4,-1
MT1X,4,-1
TFDP2,2,-1
SUFU,5,-1
RBP2,9,-1
DLX5,5,10
SH2B2,5,-1
GBP5,5,-1
IL1RAP,5,10
KRT16,7,-1
RNF152,8,-1
FASN,9,-1
ACVR1C,5,-1
OR2W3,0,2
INMT,8,-1
CHRD,5,-1
HMGCLL1,6,-1
GGA2,4,-1
VGF,5,-1
ZNF732,2,-1
GPX2,9,-1
NDUFS5,9,-1
NME6,8,-1
SPN,5,-1
HRH1,0,-1
IL6ST,5,10
ALOX5AP,4,-1
ZNF619,2,-1
IL27,5,-1
MSX2,5,10
SLC36A4,3,-1
NOS1AP,7,-1
P2RY10,0,-1
MID1,7,-1
PARD6B,7,-1
CREB5,2,-1
ELOVL2,6,0
GPC3,5,10
ORC1,1,-1
DIO1,9,-1
LPAR3,0,-1
NTS,5,-1
LAMC3,7,-1
PKP2,7,-1
AP1G2,4,-1
ZNF717,2,-1
TBXA2R,5,-1
MET,5,10
ETS2,2,-1
CHD8,1,-1
EREG,5,10
KRT37,7,-1
IFNL2,5,-1
GMPR,9,-1
DKK1,5,10
DCPS,1,-1
NKX6-1,5,10
TRA2B,1,-1
CYP26A1,9,-1
REXO1,1,-1
ERBB4,5,10
SNX3,4,-1
OR2C1,0,2
CRHR2,0,-1
ADCYAP1,5,-1
ARHGDIG,4,-1
MAPK8IP2,5,-1
ESR1,5,10
GSTM3,8,-1
XPO4,4,-1
PRKCH,8,10
AQP7,3,-1
CMPK1,8,-1
EFNA5,5,10
DNAI1,7,8
HAL,8,-1
IL1A,5,10
MGAM,6,-1
TAF10,1,-1
PTPRS,7,10
OCLN,7,-1
ATP6V0A4,3,-1
ZNF813,2,11
NTRK3,5,10
CYP24A1,9,-1
LRP2,5,10
ACAA2,6,-1
SCD5,9,-1
CCL24,5,10
PIGO,6,-1
SEL1L,4,-1
WNT10B,5,10
CEL,6,-1
DLL1,5,10
MS4A2,0,-1
ADCY6,5,-1
DEFB1,5,-1
SLC6A4,3,10
SLC23A1,3,-1
BMP4,5,10
DNAH17,7,8
NCBP2L,1,-1
CASQ1,7,-1
STAG3,1,-1
GDF15,5,-1
THTPA,8,-1
PLA2G2C,6,-1
UBA7,8,-1
TRIP10,4,-1
AMDHD1,8,-1
GNGT1,0,-1
EFNB2,5,10
UGDH,9,-1
CST1,4,-1
GZMB,4,-1
AQP8,3,-1
ALDOB,8,-1
MBOAT7,6,-1
EFNB3,0,-1
ZNF442,2,11
NEFH,7,-1
JAG2,5,-1
WWP1,4,-1
RPP25,1,-1
FABP4,5,-1
SHPK,8,-1
PYY,0,-1
NEU4,4,-1
WIPF2,4,-1
LEP,5,10
ALOX15,9,-1
ZNF98,2,11
CCNE1,8,-1
SAP30L,1,-1
CASQ2,3,-1
POMC,5,10
CHST1,6,-1
MRPL34,1,-1
KCNJ10,3,-1
COLEC12,4,-1
MASP2,5,-1
F10,4,-1
SHANK3,5,10
VIPR2,0,-1
PSMB2,5,-1
CASP7,5,-1
EPAS1,1,10
RAG1,5,-1
QRFP,0,-1
CDH3,5,-1
JUNB,2,10
PYDC1,5,-1
IDO1,5,-1
ZNF888,2,-1
TRPV6,3,-1
TOP3A,1,-1
CCR4,0,10
UGT2B15,6,-1
GSPT1,1,-1
KIF3A,7,-1
ADRA2A,5,10
ZNF101,2,12
TNFRSF4,5,-1
ILK,5,10
COL9A3,7,-1
SYNPO,7,-1
CA9,4,-1
AQP3,3,-1
GPR156,0,-1
GALNT14,6,1
CD274,5,10
CLDN10,7,-1
FBLL1,1,-1
ENO4,8,-1
LCAT,6,-1
NLK,8,10
DSG1,7,-1
SCUBE2,0,-1
LEFTY2,0,-1
PPP1R3F,8,-1
CXCL2,5,10
CHRNB2,5,10
KRT31,7,-1
ENTPD2,8,-1
EDN3,5,-1
SLC6A11,3,-1
CHST8,6,-1
CYP27C1,9,-1
DYNC1I1,7,-1
WIPI1,4,-1
EDN2,5,-1
PVR,5,-1
SCN7A,3,10
HBEGF,5,-1
ZSCAN32,2,12
BBOX1,4,-1
EGFR,5,10
IL12B,5,10
FARS2,1,-1
CASC3,1,-1
NOS2,5,10
GPX3,9,-1
PI4KA,8,-1
ZNF730,2,11
REC8,1,-1
PIP4K2B,8,-1
PDE7B,8,-1
STRADA,8,-1
MST1,5,-1
AKT1S1,8,-1
PLIN5,5,-1
PROCR,7,-1
HCN2,3,10
FAR2,9,-1
IFNG,5,10
PRPH,7,-1
ZNF519,2,11
IL17RB,5,-1
S100G,4,-1
GDF3,5,-1
CSTF1,1,-1
FZD9,5,10
RPS6KA5,8,-1
TMEM97,4,-1
ZBP1,5,-1
DES,7,-1
UGT2B11,6,-1
CCR5,0,10
FRAS1,7,-1
ME1,9,4
GSTA4,8,-1
ASS1,5,-1
EPO,5,10
RASD1,4,-1
CDC26,1,-1
PDE4D,8,-1
PWP2,1,-1
DDX42,1,-1
FASLG,5,-1
GRIN2A,3,10
DYNLL2,7,-1
SORD,9,4
ELOVL1,6,0
PPP1R1B,8,-1
TIMP1,5,-1
NTRK2,5,10
KCNN2,3,-1
CHAD,0,-1
STEAP1,4,-1
DNAJA1,4,-1
ORC6,1,-1
LPL,6,-1
MPO,5,-1
GRIN3B,3,10
ANGPT1,5,10
NPC1L1,6,-1
MAPT,7,10
IRAK4,8,-1
THPO,5,-1
GRAP2,4,-1
F12,5,-1
SIRT5,9,-1
PEX19,4,-1
SPCS1,4,-1
NPPA,5,10
LIPE,6,-1
PPP1R3E,8,-1
PMCH,5,-1
AMACR,9,-1
CTSV,4,-1
PIK3R4,8,-1
ACSL5,6,-1
CCL3,5,10
MYB,5,10
OR52N4,0,2
MT1E,4,-1
ITGAL,5,-1
JUN,5,10
PNPLA3,6,-1
CXCR3,5,10
PSD2,7,-1
ETNK2,8,3
RXRG,2,-1
IL1RL2,5,-1
DLL3,5,-1
POPDC3,7,-1
SLC16A10,3,-1
HTR1D,0,-1
LDHAL6A,9,-1
CREB3,1,10
RAET1L,0,7
PLIN1,4,-1
SH2D1B,5,-1
CLCF1,5,-1
MDH1,9,-1
PNLDC1,1,-1
ACVRL1,5,10
WIF1,0,-1
UNC13A,4,-1
NPR1,5,-1
CYP2E1,9,-1
SEMA3E,5,-1
ARFGAP2,4,-1
NDUFB6,9,-1
ASPA,8,-1
ETNPPL,9,-1
AP2A2,4,-1
KRT33A,7,-1
ZFP92,2,-1
ROBO3,5,-1
PEX2,4,-1
RPL13,1,5
LHB,0,-1
KLRD1,5,-1
TP53I3,9,-1
ZNF707,2,12
C4BPA,5,-1
ARHGEF4,4,-1
LIMD1,1,-1
GTSE1,7,-1
BCAR1,5,-1
SLC19A3,3,-1
SIX4,5,10
TNFRSF9,5,-1
ACYP2,8,-1
EPHA2,5,10
ASGR1,4,-1
FUT6,6,6
ATP6V0E2,3,-1
SLC34A3,3,-1
SCN3A,3,-1
ALOXE3,9,-1
UGT8,6,6
TSPO,5,-1
SIRT3,8,-1
ITK,8,-1
SLC16A3,3,-1
GPT,4,-1
ATP1A3,3,-1
PLD4,4,-1
NR5A2,5,10
OGT,5,-1
NOS3,5,10
DUOX1,9,-1
GLI1,5,10
EXT1,5,-1
STX8,4,-1
SAP18,1,-1
SUOX,9,-1
IRF9,2,-1
SERPINA5,4,-1
ABCA7,3,-1
GLRA3,3,-1
SLC4A4,3,-1
GPAT2,6,-1
PEX16,4,-1
FOSL1,2,10
PANK3,8,-1
RHOH,8,-1
ITGB7,7,-1
SGK3,8,-1
CX3CR1,5,10
CXCL11,5,10
DRD2,5,10
HAMP,5,-1
SLC2A4,4,-1
EPHB6,0,-1
ZNF641,2,-1
NR1H3,5,10
SFRP1,5,10
GSTA1,9,-1
U2SURP,1,-1
TLR7,5,-1
CYP3A7,9,-1
ZNF853,2,-1
IRS2,5,-1
ZNF354C,2,-1
ZNF624,2,12
PSAT1,9,-1
RABEP1,4,-1
AGAP1,4,-1
RDH16,9,4
IL20RA,5,-1
CLDN2,7,-1
MRPL4,1,-1
GALNT6,6,1
CD3G,5,-1
SMPD3,5,-1
CYP2R1,9,-1
CKB,8,3
GNMT,9,-1
RPL5,1,5
CYSLTR1,0,-1
ID4,5,-1
XCL2,5,10
CLDN9,7,-1
CYP4F8,9,-1
HNF4G,2,-1
FSCN1,7,-1
DDX46,1,-1
ZNF354B,2,11
GLP1R,0,-1
CRY2,5,-1
HYAL1,5,-1
PISD,4,-1
CYP39A1,9,-1
PHGDH,9,-1
ITGA7,7,-1
SRD5A3,9,-1
IL34,5,-1
DNAH5,7,8
ZNF229,2,12
ARAP3,4,-1
NR1D2,2,10
SDC2,7,-1
C6,5,-1
DNAL1,7,-1
ACOT7,9,-1
SGPP1,6,-1
CD1C,4,7
OPRD1,0,-1
RASAL1,8,-1
CST4,4,-1
MAOA,9,-1
HS6ST3,6,-1
LAMC2,7,-1
RAD23A,1,-1
FANCG,1,-1
SERPINE1,5,-1
STX1A,4,-1
FOLR1,7,-1
PIK3CG,5,-1
SHC4,5,-1
DUSP2,8,-1
AKR1C1,9,4
CHRNA1,3,-1
CISH,5,-1
MGAT3,6,-1
IL7,5,10
IL27RA,5,-1
NAPSA,4,-1
CLCA4,3,-1
CACNG4,3,-1
UBE2L6,8,-1
TUBB6,7,-1
ST6GALNAC4,6,-1
SRR,8,-1
PSME2,4,-1
CD226,5,-1
GALNS,6,-1
B3GNT3,6,-1
CYP19A1,9,-1
CARD14,5,-1
PCGF5,1,-1
GUCY2D,8,-1
IFNL3,5,-1
NUDT16,1,-1
SESN3,8,-1
DUSP1,5,-1
ATIC,8,-1
PLCH1,8,-1
CYP27B1,9,-1
CA8,4,-1
GPHN,7,-1
ZFP36,1,-1
TSLP,5,-1
CHUK,8,10
OTX1,2,-1
SHC1,5,-1
EFNB1,7,-1
CETN2,1,-1
GZMA,4,-1
SGCG,7,-1
AREG,5,10
BAIAP3,4,-1
FAR1,9,-1
ABCB4,3,9
CCR2,5,10
GMPPB,8,-1
FTCD,4,-1
ARHGAP10,4,-1
GRIA2,3,-1
TXNDC12,9,-1
DGKH,8,-1
PLXNB1,5,-1
FGFR3,5,10
PRKAR2B,8,-1
CIITA,8,-1
SREBF1,5,10
RGN,8,-1
NLRP7,5,-1
GRIK1,3,10
PRH1,4,-1
AKR1B10,9,4
CRYAB,7,-1
ACSS1,9,-1
SOAT2,6,-1
BLNK,8,-1
NTRK1,5,10
FCGR3B,0,-1
THOC2,1,-1
CXCR6,0,10
NCR1,0,-1
ZNF141,2,-1
ATG9B,4,-1
CD38,5,10
RGL2,8,-1
CNGA1,3,-1
GBGT1,6,-1
DVL1,7,10
EPHA7,5,10
CADM1,5,-1
GPD1,9,-1
ADORA2B,0,-1
SHOC2,5,-1
ATP1A4,3,-1
MAPK12,8,10
TH,5,-1
COL18A1,7,-1
CARD9,5,10
KCNJ11,3,10
ELOVL3,6,0
SMUG1,1,-1
PMM1,8,-1
ULBP3,5,7
ARHGEF26,7,-1
DTX3L,8,-1
CAV2,4,10
VIPR1,0,-1
EPHA8,5,-1
GPI,5,-1
IL9R,0,-1
SIX1,5,10
FUT3,6,6
SMG6,1,-1
GLUD1,9,-1
NUP98,1,-1
CCR8,0,10
CKMT2,8,3
JAK2,5,10
COQ6,9,-1
FGF10,5,10
S1PR5,0,-1
PGR,2,10
DCP1A,1,-1
MRPS21,1,-1
ZCCHC7,1,-1
ETV7,2,-1
SYCP3,1,-1
GK,8,-1
CNOT10,1,-1
POMGNT2,6,1
FMO3,9,-1
ABCB1,3,9
ALDH1L1,9,-1
MOCS2,8,-1
SLC6A12,3,-1
PLCD4,4,-1
CYP11A1,9,-1
PRLR,5,-1
SMCR8,8,-1
TERT,1,-1
DLGAP1,0,-1
B4GALNT1,6,6
NADK2,9,-1
DUSP5,8,-1
SEPSECS,1,-1
CALCR,0,-1
