gene,cluster_kmeans,cluster_hdbscan
SLC6A12,9,-1
ZNF836,10,-1
ACSL6,7,-1
PNMT,11,-1
IL18RAP,1,-1
MCM3,16,13
IHH,1,-1
LAMB1,1,-1
CCDC6,4,-1
STX6,2,4
NTRK2,1,17
SUMO1,18,14
BUB1,6,-1
CCNB2,18,-1
GTSE1,4,-1
PPP2R5D,18,-1
CPT1B,7,-1
CYBA,1,-1
RFC5,16,13
NAGPA,2,-1
DNAJC1,0,-1
CACNA2D4,9,-1
CYP3A43,12,-1
HSD17B1,12,-1
CYP2E1,12,2
NDUFB11,17,-1
PDE6C,11,-1
RSL24D1,14,-1
ZNF793,10,19
SLC26A3,9,-1
SUV39H1,3,-1
NT5C3A,11,-1
SRP68,17,-1
ST6GALNAC2,7,-1
ABO,7,-1
COL10A1,15,-1
AKR1D1,12,-1
RGMA,1,-1
CFHR4,15,-1
NUP85,2,-1
UBE2T,18,8
E2F3,3,16
UGT2B17,7,-1
P2RX4,1,-1
TFF1,1,-1
ACADL,12,0
PRF1,1,-1
ENPP3,11,-1
BOC,4,-1
TGFA,1,-1
ZNF829,10,19
EZH2,3,-1
NUP62,18,-1
ACAA1,7,-1
CASC3,5,5
SEMA4F,4,-1
ADRB1,13,-1
PCCB,11,-1
MCM5,16,13
POLD3,16,-1
ZNF431,10,-1
FMO1,12,-1
TG,1,-1
BIRC5,18,12
ABCC3,9,3
IL33,1,11
RPL19,17,15
NSFL1C,18,-1
P2RX7,1,-1
MAP3K3,6,9
LYPD6B,15,-1
PHAX,5,-1
MSH6,16,-1
CYB5RL,12,-1
OTX1,3,-1
GSTM1,12,-1
ARG2,1,-1
IAPP,1,-1
FGF1,1,-1
P2RX6,9,-1
CSNK2A3,6,-1
RRM1,11,-1
CD2AP,4,17
MAP4K1,6,-1
SEC61A2,0,-1
RILP,2,-1
TXN,18,-1
IYD,12,-1
ZNF667,10,-1
PLK1,18,12
ZNF224,10,-1
GLCE,7,-1
FANCB,16,-1
POLR3F,3,-1
C9,1,-1
SNAP25,4,-1
MAML3,3,-1
PIDD1,18,-1
CKMT2,11,-1
ORC2,16,-1
RP9,5,-1
GOSR2,2,4
RPS24,17,15
ENTPD2,11,-1
IL1RL2,1,-1
SNAP29,2,-1
RAD51D,16,13
CYP3A7,12,2
CDK7,6,-1
HSD11B2,12,-1
FANCG,16,-1
GAL3ST1,7,-1
KIF7,4,-1
UTP6,14,-1
SIRT7,3,-1
COMP,1,-1
SLC2A5,9,-1
RRAS2,4,-1
GRK6,6,-1
MATR3,3,-1
FXYD2,9,-1
DIS3L,5,-1
ELANE,1,-1
ANGPT2,1,-1
ISY1,8,6
QDPR,12,-1
NAT2,11,-1
PRPF18,8,6
RFC2,16,13
OR1F1,13,-1
WIPF2,15,-1
CD3E,1,-1
TAF11,3,-1
STIM2,9,-1
NUP210,2,-1
SLC2A4,9,-1
CORO1A,4,17
ZNF442,10,20
FKTN,4,-1
G6PD,12,-1
PTH2R,13,-1
BLM,16,13
PPP1CC,18,-1
FOSB,3,-1
CD58,1,-1
PPP1R1A,18,-1
ABCC5,9,3
UBOX5,18,-1
CYP27B1,12,-1
FBXO43,18,-1
GSR,12,-1
MASP2,1,-1
ELOVL3,7,-1
POLA2,16,-1
B4GALT3,7,1
ZNF141,10,-1
EIF2B3,17,-1
UNC5C,4,-1
CHSY3,7,-1
WIPF3,2,-1
UNC5A,4,-1
SYT1,4,-1
NFKB2,3,-1
POLE2,16,-1
TRAM1L1,0,-1
ERCC6,16,-1
MUC5B,15,-1
DGKG,11,-1
SSR2,0,-1
ATP1A1,9,-1
HSPA1A,18,14
BMP5,1,-1
NR4A3,3,16
TXNL4A,8,6
ME1,12,-1
POLA1,16,-1
FARSB,11,-1
CNTFR,4,-1
TUBA3D,4,-1
PDE2A,11,-1
MYO1A,4,-1
HTR2B,13,-1
UBE2L3,18,8
ZNF343,10,-1
LDHC,12,-1
POMGNT2,7,-1
DNM1,2,-1
UBE2C,18,8
ZNF514,10,20
MRPL30,17,-1
HAO2,12,-1
CD37,1,-1
PIGX,0,-1
PPAT,11,-1
VPS26A,2,4
UTP18,14,-1
ZNF529,10,20
TMSB4Y,4,-1
KCNJ15,9,-1
CASP2,1,-1
SDHB,12,-1
CAB39L,18,-1
B3GAT3,7,1
NR4A1,3,16
RBMX,5,-1
ZFYVE16,2,-1
UBQLN4,18,-1
ALG10B,7,-1
RPS15A,17,15
ZNF433,10,21
ASIC5,9,-1
CFHR3,15,-1
ZNF727,10,-1
MPZ,4,-1
F2RL3,13,-1
ZNF10,10,-1
MAD2L1,18,-1
RRM2,11,-1
ACSS2,11,0
PRIM1,16,-1
CCNA2,18,-1
IPO11,2,10
SUV39H2,3,-1
FYN,1,17
PDCD1,1,-1
ASPDH,12,-1
IBSP,15,-1
RFC4,16,13
CCNT1,3,-1
PTTG1,16,-1
GAS1,1,-1
RAB33B,2,-1
SPOP,18,-1
ZNF670,10,19
CYP2C9,12,2
SEMA3A,4,-1
TP73,3,16
SLCO1B1,9,-1
CYP27C1,12,-1
ZNF221,10,20
CDKN2A,18,-1
ZNF84,10,-1
ZNF682,10,20
PPP1R14A,18,-1
CRTC3,18,-1
YWHAH,4,-1
GALNT15,7,-1
UPF2,5,-1
EZH1,3,-1
ZNF583,10,20
NCBP1,5,-1
ONECUT1,3,-1
SLC5A1,9,-1
DCN,1,-1
TAF9,3,-1
PPIF,1,-1
CCR5,13,11
SEPHS1,11,-1
KDELR3,0,-1
EFCAB7,4,-1
UBXN2A,18,-1
TACR2,13,-1
APLN,1,-1
OPRL1,13,-1
ZNF681,10,20
CTNNA2,4,-1
BIRC3,1,-1
YWHAQ,18,-1
SFRP5,1,-1
ZNF248,10,19
ATG12,18,-1
IPO5,2,10
BRAP,18,-1
ARNT2,3,16
CXCL14,1,-1
TLX1,10,-1
CCL18,1,11
SUMO2,18,-1
ATP6AP2,2,-1
PINK1,1,17
ITGB3,1,18
ZNF420,10,21
KCNJ2,9,-1
CALML6,18,-1
NPLOC4,18,-1
ZNF234,10,-1
GPD1L,12,-1
MGAT5,7,1
VPS29,2,-1
CD8A,1,-1
ENPP4,9,-1
RICTOR,1,17
GUCY2C,11,-1
RAD54L,16,13
HMGCL,11,-1
CDCA5,16,-1
PTCH1,1,-1
EXO1,16,-1
ULK1,18,-1
ZNF33A,10,-1
ZNF785,10,21
DCLRE1C,16,-1
CCNE2,18,-1
ACSS3,11,-1
DPYSL2,4,-1
THOC2,5,-1
OGDHL,12,-1
CNOT10,17,-1
GSK3A,1,17
EGF,1,-1
PLK4,6,-1
PRPF3,8,6
PIGC,0,-1
TUBA3C,4,-1
ZNF222,10,-1
RPL10L,17,-1
AXIN1,18,14
PGAP1,7,-1
SFRP2,1,-1
CUL7,18,-1
ARSB,1,-1
DHH,1,-1
HNRNPA3,5,-1
MLYCD,12,0
CDC20,18,-1
WNT3,1,-1
TLR6,1,-1
ELOVL4,7,-1
LRP2,4,-1
NEFH,4,-1
FCGR2C,1,-1
SERPINA7,15,-1
CKS2,18,-1
CYP3A4,12,2
LSM5,8,6
IL17RE,4,-1
DIO2,12,-1
