gene,cluster_kmeans,cluster_hdbscan
DNAJC5B,5,-1
TP53,6,23
SCN1B,2,-1
NCEH1,1,-1
GNB3,7,-1
ZNF256,8,-1
TNNC1,13,-1
ELAVL1,15,-1
OR7C1,0,8
SNRNP70,15,14
SLC8A1,2,23
IGSF1,0,-1
ITGB2,7,23
PDGFB,7,23
CHRM1,0,-1
SGK2,3,-1
IKBKB,3,-1
WDR24,3,-1
LRAT,10,-1
HS3ST1,9,-1
DUSP8,3,-1
ARG1,7,-1
NUDT16L1,15,-1
TAF10,6,-1
IPO13,5,-1
ZNF83,8,-1
SNAP23,12,-1
NUP85,5,-1
P2RY11,0,-1
ANTXR2,11,-1
GPC1,11,-1
GSTT2,5,-1
UPF3B,15,-1
AGL,1,-1
DGKG,1,-1
C7,7,-1
SLITRK4,7,-1
TBXA2R,7,-1
HLA-DQA1,12,23
UBE2T,3,17
ZNF823,8,26
PPP2R5B,3,-1
INHBA,7,23
CASP3,7,-1
ST6GALNAC1,9,-1
CD34,7,-1
EXO1,4,-1
BST1,7,-1
COL8A1,11,16
RPS27,15,3
COL1A2,11,16
ACSM5,1,-1
PRCC,5,-1
DGAT2,1,-1
NAT2,1,-1
SCRIB,13,-1
ARF5,12,-1
CDC6,4,-1
GALNT16,9,10
TBKBP1,5,-1
PHYKPL,1,-1
FANCG,4,-1
NT5C3A,1,11
COL10A1,11,-1
MBOAT7,9,-1
POLM,4,-1
SLC22A3,2,-1
GNAS,7,23
LPGAT1,9,-1
ALDH1L1,10,7
SF3B4,15,15
VGF,7,-1
OR51T1,0,8
STX2,12,-1
PRKD3,3,-1
ORAI2,2,-1
CDKN2A,3,-1
PATE2,11,-1
COL4A1,11,16
CSTF3,15,-1
NMNAT2,1,-1
UIMC1,4,-1
MEF2B,8,-1
MRPS15,15,4
PMVK,1,-1
PCYOX1,10,-1
RNASEH2A,4,-1
DNM1,12,-1
UBE2I,5,-1
CYP3A5,10,12
ASGR1,11,-1
GSTM4,1,-1
AGAP5,5,-1
ADA,7,-1
KL,7,-1
LILRB2,7,23
DGKZ,1,-1
MYL3,13,-1
SLC18A1,2,-1
NDUFB4,14,0
STX6,12,19
UCK1,1,-1
ISG15,7,-1
CCNE1,3,-1
IL10RA,7,-1
PGAM4,1,-1
TNFRSF4,7,-1
FLT1,7,23
PILRB,0,-1
VAV2,7,-1
MEN1,6,-1
SEL1L,12,-1
LAMC3,11,-1
CYP27A1,10,12
LILRA2,7,-1
SLC27A2,1,6
GLDC,10,-1
ST6GALNAC5,9,-1
IPO11,5,-1
DNAJB2,3,-1
SUCNR1,0,-1
HLA-DMA,7,-1
E2F1,6,23
EPHB2,7,23
GRIA3,2,23
ZNF221,8,-1
COX7B,14,0
ABCB9,12,-1
UBE2E3,3,17
FXYD4,2,-1
IL3RA,0,-1
SEMA6B,7,-1
F2RL3,0,-1
DKK1,7,23
CD86,7,23
RBM17,15,-1
COL3A1,7,16
PLAUR,7,-1
PLCB2,1,-1
DVL3,3,-1
CYP2A6,10,12
SNRPD2,15,15
HYAL1,7,-1
CDK6,7,-1
ACSL3,1,6
NOS3,7,-1
THBS3,11,-1
TMLHE,10,-1
THOC6,15,-1
CDC26,3,-1
LPIN3,1,-1
SERPINE2,7,-1
LGR6,0,-1
OGT,6,23
SLC2A4,12,-1
IRF9,8,23
COL18A1,11,16
SH3BP2,3,-1
SRGAP2,13,23
LSM7,15,15
LILRB4,7,-1
FKBP5,5,-1
ZNF682,8,25
MT1H,5,2
IGF2R,12,19
ZNF354B,8,25
PLCL1,1,-1
CCNA1,5,-1
PQBP1,6,-1
COL5A2,11,16
MAPK8IP2,3,-1
JAM3,13,-1
BIRC5,4,23
GALNT13,9,10
NVL,15,-1
ACTN2,13,-1
PLXNA3,7,-1
