implementation,n_features,n_samples,seed,accuracy,f1,train_time,test_time
MyRandomForest,20,200,0,0.8666666666666667,0.8666666666666667,2.852128744125366,0.12054777145385742
RandomForestClassifier,20,200,0,0.85,0.8500416782439566,0.19815659523010254,0.030790090560913086
MyRandomForest,20,300,0,0.8444444444444444,0.8425406538614086,5.88280987739563,0.12637090682983398
RandomForestClassifier,20,300,0,0.8555555555555555,0.8533549552625216,0.2079145908355713,0.03214216232299805
MyRandomForest,20,200,0,0.7166666666666667,0.7159565580618211,3.1502654552459717,0.1223914623260498
RandomForestClassifier,20,200,0,0.7166666666666667,0.7159565580618211,0.19921207427978516,0.030421733856201172
MyRandomForest,20,300,0,0.8888888888888888,0.8888888888888888,4.173762559890747,0.12306785583496094
RandomForestClassifier,20,300,0,0.9,0.8999382639832078,0.19936418533325195,0.03130793571472168
MyRandomForest,20,100,0,0.8,0.7963800904977376,0.9186134338378906,0.08630204200744629
RandomForestClassifier,20,100,0,0.8,0.7963800904977376,0.18384313583374023,0.02975749969482422
MyRandomForest,20,300,0,0.8777777777777778,0.8777324599349072,4.277811050415039,0.12728166580200195
RandomForestClassifier,20,300,0,0.8444444444444444,0.8439814814814816,0.19445466995239258,0.032755136489868164
MyRandomForest,20,200,0,0.6666666666666666,0.6659251019651464,2.6941006183624268,0.11202192306518555
RandomForestClassifier,20,200,0,0.6333333333333333,0.6333333333333333,0.22600126266479492,0.03100895881652832
MyRandomForest,20,300,0,0.7444444444444445,0.7446653221934121,4.329150199890137,0.13506126403808594
RandomForestClassifier,20,300,0,0.7888888888888889,0.7890713531162968,0.19042205810546875,0.029802322387695312
MyRandomForest,20,100,0,0.8,0.8,0.8744208812713623,0.07554078102111816
RandomForestClassifier,20,100,0,0.8,0.8,0.199232816696167,0.030194997787475586
MyRandomForest,20,200,0,0.7666666666666667,0.7669262143121987,2.957240343093872,0.11600756645202637
RandomForestClassifier,20,200,0,0.7666666666666667,0.7666666666666667,0.21222329139709473,0.033945560455322266
MyRandomForest,20,200,0,0.8833333333333333,0.8817234581807942,2.2421810626983643,0.09635567665100098
RandomForestClassifier,20,200,0,0.8666666666666667,0.8653198653198653,0.20555520057678223,0.031684160232543945
MyRandomForest,20,100,0,0.8,0.8,1.1003875732421875,0.09012269973754883
RandomForestClassifier,20,100,0,0.7666666666666667,0.7658880237300705,0.18847084045410156,0.03001117706298828
MyRandomForest,20,100,0,0.8333333333333334,0.8338895068594735,0.9306111335754395,0.0886690616607666
RandomForestClassifier,20,100,0,0.8333333333333334,0.8338895068594735,0.19431495666503906,0.03215503692626953
MyRandomForest,20,300,0,0.9111111111111111,0.9111111111111111,4.938100576400757,0.11997461318969727
RandomForestClassifier,20,300,0,0.9111111111111111,0.9111111111111111,0.22656798362731934,0.030039548873901367
MyRandomForest,20,100,0,0.6333333333333333,0.6246913580246913,0.9396169185638428,0.08803105354309082
RandomForestClassifier,20,100,0,0.6666666666666666,0.662202380952381,0.19779253005981445,0.030905961990356445
